import time: self [us] | cumulative | imported package
import time:       619 |       2108 |                                     proto.marshal.collections
import time:       568 |        568 |                                     proto.marshal.rules
import time:       607 |        607 |                                     proto.marshal.rules.bytes
import time:       934 |        934 |                                       proto.primitives
import time:       553 |       1486 |                                     proto.marshal.rules.stringy_numbers
import time:       480 |        480 |                                       proto.datetime_helpers
import time:       591 |       1071 |                                     proto.marshal.rules.dates
import time:       524 |        524 |                                     proto.marshal.rules.struct
import time:       600 |        600 |                                     proto.marshal.rules.wrappers
import time:       446 |        446 |                                     proto.marshal.rules.field_mask
import time:      1858 |      11943 |                                   proto.marshal.marshal
import time:       383 |      12326 |                                 proto.marshal
import time:        48 |      12374 |                               proto.marshal.rules
import time:       397 |      12770 |                             proto.marshal.rules.message
import time:       803 |      13573 |                           proto._file_info
import time:       332 |        332 |                           proto._package_info
import time:       409 |        409 |                           proto.marshal.rules.enums
import time:       933 |      18353 |                         proto.enums
import time:       483 |        483 |                         proto.fields
import time:      3105 |       3105 |                           google.protobuf.json_format
import time:       880 |       3985 |                         proto.message
import time:       676 |        676 |                         proto.modules
import time:       295 |        295 |                         proto.version
import time:       704 |      24493 |                       proto
import time:      1426 |      25919 |                     google.cloud.aiplatform_v1.types.accelerator_type
import time:       711 |        711 |                       google.cloud.aiplatform_v1.types.user_action_reference
import time:      1082 |       1793 |                     google.cloud.aiplatform_v1.types.annotation
import time:       701 |        701 |                     google.cloud.aiplatform_v1.types.annotation_spec
import time:       710 |        710 |                     google.cloud.aiplatform_v1.types.api_auth
import time:      1254 |       1254 |                     google.cloud.aiplatform_v1.types.artifact
import time:       593 |        593 |                       google.cloud.aiplatform_v1.types.completion_stats
import time:       710 |        710 |                       google.cloud.aiplatform_v1.types.encryption_spec
import time:      3266 |       3266 |                         google.cloud.aiplatform_v1.types.explanation_metadata
import time:      3780 |       3780 |                         google.cloud.aiplatform_v1.types.io
import time:      5142 |      12187 |                       google.cloud.aiplatform_v1.types.explanation
